price,rating,review_count,title
,,,
$299.00,4.3 out of 5 stars,139,"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S"
$359.99,5.0 out of 5 stars,10,"ANMESC Laptop Computer Laptop 15.6"" with 1080P FHD Display, Quad-Core Intel Celeron N5095 Processors, 12GB DDR4 512GB SSD,Windows 11 Laptop Computers, 2.4G/5G WiFi, Bluetooth 4.2"
$170.99,4.2 out of 5 stars,194,"Lenovo IdeaPad 1 14 Laptop, 14.0"" HD Display, Intel Celeron N4020, 4GB RAM, 64GB Storage, Intel UHD Graphics 600, Win 11 in S Mode, Cloud Grey"
$749.99,4.8 out of 5 stars,"Shop products with sustainability certifications, as part of our commitment to help preserve the natural world. Time is fleeting.","Apple 2020 MacBook Air Laptop M1 Chip, 13"" Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Silver"
,,,
$279.99,4.3 out of 5 stars,209,"jumper Laptop, 16 Inch FHD IPS Display (16:10), Intel Celeron Quad Core CPU, 4GB DDR4 128GB Storage, Windows 11 Laptops Computer with Office 365 1-Year Subscription, Numeric Keypad, 4 Stereo Speakers."
$588.00,4.6 out of 5 stars,27,"HP 17 Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Home, Silver"
$573.00,4.4 out of 5 stars,395,"Dell Inspiron 15 3000 Series 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 32GB DDR4 RAM, 1TB PCIe SSD, SD Card Reader, Webcam, HDMI, Wi-Fi, Windows 11 Home, Black"
$79.00,4.1 out of 5 stars,101,"Lenovo 81ER0002US 100e, Chrome Intel N3350 2.4 GHz Laptop, 4 GB RAM 16GB SSD (Renewed)"
$429.00,4.0 out of 5 stars,47,Dell Precision 5530 15.6” FHD IGZO4 Laptop Notebook Computer Intel 6-Core i7-8850H 2.60 GHz 32GB RAM 1TB SSD Nvidia Quadro P1000 No DVD Win 10 Pro (Renewed)
$415.00,4.3 out of 5 stars,"3,529","Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond"
$124.99,3.9 out of 5 stars,323,Gateway Newest Touchscreen 11.6 HD 2-in-1 Convertible Laptop in Black Intel N4020 4GB RAM 64GB SSD Mini-HDMI Webcam Windows 10 S (Renewed)
$349.99,4.6 out of 5 stars,20,"ANMESC Laptop Computer Laptop 15.6"" with 1080P FHD Display, Quad-Core Intel Celeron N5095 Processors, 12GB DDR4 512GB SSD,Windows 11 Laptop Computers, 2.4G/5G WiFi, Bluetooth 4.2"
$219.99,4.3 out of 5 stars,126,"HP 2023 Convertible 2-in-1 Chromebook Laptop, 14"" HD IPS Touchscreen, Intel Celeron Processor up to 2.60GHz, 4GB Ram, 64GB SSD, 4K Graphics, Super-Fast 6th Gen WiFi, Chrome OS, Dale Blue(Renewed)"
$959.00,5.0 out of 5 stars,1,"Lenovo 2023 Flex 5 2-in-1 Laptop 16"" 2.5K Touchscreen 12th Intel Core i7-1255U 10-Core Iris Xe Graphics 16GB RAM 1TB SSD Thunderbolt 4 Wi-Fi 6 Backlit KB FP Reader Windows 10 Pro w/RATZK 32GB USB"
$289.99,4.2 out of 5 stars,547,"HP Latest Stream 14"" HD Laptop, Intel Celeron Processor, 8GB Memory, 64GB eMMC Storage, Fast Charge, HDMI, Up to 11 Hours Long Battery Life, Office 365 1-Year, Win 11 S, Microfiber Bundle, Pink Gold"
$680.00,4.8 out of 5 stars,6,"Acer Swift X SFX14-41G-R0SG Creator Laptop | 14"" Full HD 100% sRGB | AMD Ryzen 5 5600U | NVIDIA RTX 3050 Laptop GPU | 8GB LPDDR4X | 512GB NVMe SSD | Wi-Fi 6 | Backlit Keyboard | Windows 10 Home"
$192.87,4.0 out of 5 stars,94,"Newest HP 14"" HD Laptop, Windows 11, Intel Celeron Dual-Core Processor Up to 2.60GHz, 4GB RAM, 64GB SSD, Webcam(Renewed)"
,,"
                                                    laptop on sale clearance
                                                ",
,,,
,, or ,
